,participant,generated_question,evaluation_question,section_id,answer,section_question_id,evaluation_question_id
22,eaol09,What is the main focus of symbolic interactionism ?,Could you rephrase the question to make it clearer and/or error-free?,234,1,234What is the main focus of symbolic interactionism ?,5
23,eaol09,What is the main focus of symbolic interactionism ?,Are students reading the text probably able to answer the question?,234,2,234What is the main focus of symbolic interactionism ?,6
24,eaol09,What is the main focus of symbolic interactionism ?,Which kind of information is needed to answer the question?,234,2,234What is the main focus of symbolic interactionism ?,7
25,eaol09,What is the main focus of symbolic interactionism ?,Do you think being able to answer the question is important to work on the topic covered by the text?,234,2,234What is the main focus of symbolic interactionism ?,8
26,eaol09,What is the main focus of symbolic interactionism ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",234,2,234What is the main focus of symbolic interactionism ?,9
27,eaol09,What does biopsychology explore ?,Could you understand what the question is asking?,228,1,228What does biopsychology explore ?,1
28,eaol09,What does biopsychology explore ?,Is the question related to the given text?,228,1,228What does biopsychology explore ?,2
29,eaol09,What does biopsychology explore ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",228,1,228What does biopsychology explore ?,3
30,eaol09,What does biopsychology explore ?,Is it clear what the question asks for?,228,1,228What does biopsychology explore ?,4
31,eaol09,What does biopsychology explore ?,Could you rephrase the question to make it clearer and/or error-free?,228,1,228What does biopsychology explore ?,5
32,eaol09,What does biopsychology explore ?,Are students reading the text probably able to answer the question?,228,1,228What does biopsychology explore ?,6
33,eaol09,What does biopsychology explore ?,Which kind of information is needed to answer the question?,228,2,228What does biopsychology explore ?,7
34,eaol09,What does biopsychology explore ?,Do you think being able to answer the question is important to work on the topic covered by the text?,228,1,228What does biopsychology explore ?,8
35,eaol09,What does biopsychology explore ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",228,1,228What does biopsychology explore ?,9
36,eaol09,What is another way to describe less blood ?,Could you understand what the question is asking?,226,1,226What is another way to describe less blood ?,1
37,eaol09,What is another way to describe less blood ?,Is the question related to the given text?,226,1,226What is another way to describe less blood ?,2
38,eaol09,What is another way to describe less blood ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",226,1,226What is another way to describe less blood ?,3
39,eaol09,What is another way to describe less blood ?,Is it clear what the question asks for?,226,1,226What is another way to describe less blood ?,4
40,eaol09,What is another way to describe less blood ?,Could you rephrase the question to make it clearer and/or error-free?,226,1,226What is another way to describe less blood ?,5
41,eaol09,What is another way to describe less blood ?,Are students reading the text probably able to answer the question?,226,1,226What is another way to describe less blood ?,6
42,eaol09,What is another way to describe less blood ?,Which kind of information is needed to answer the question?,226,3,226What is another way to describe less blood ?,7
43,eaol09,What is another way to describe less blood ?,Do you think being able to answer the question is important to work on the topic covered by the text?,226,1,226What is another way to describe less blood ?,8
44,eaol09,What is another way to describe less blood ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",226,2,226What is another way to describe less blood ?,9
45,eaol09,What method is used to explain a phenomenon ?,Could you understand what the question is asking?,239,1,239What method is used to explain a phenomenon ?,1
46,eaol09,What method is used to explain a phenomenon ?,Is the question related to the given text?,239,1,239What method is used to explain a phenomenon ?,2
47,eaol09,What method is used to explain a phenomenon ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",239,1,239What method is used to explain a phenomenon ?,3
48,eaol09,What method is used to explain a phenomenon ?,Is it clear what the question asks for?,239,1,239What method is used to explain a phenomenon ?,4
49,eaol09,What method is used to explain a phenomenon ?,Could you rephrase the question to make it clearer and/or error-free?,239,1,239What method is used to explain a phenomenon ?,5
50,eaol09,What method is used to explain a phenomenon ?,Are students reading the text probably able to answer the question?,239,2,239What method is used to explain a phenomenon ?,6
51,eaol09,What method is used to explain a phenomenon ?,Which kind of information is needed to answer the question?,239,10,239What method is used to explain a phenomenon ?,7
52,eaol09,What method is used to explain a phenomenon ?,Do you think being able to answer the question is important to work on the topic covered by the text?,239,10,239What method is used to explain a phenomenon ?,8
53,eaol09,What method is used to explain a phenomenon ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",239,10,239What method is used to explain a phenomenon ?,9
54,eaol09,What is the method of learning based on ?,Could you understand what the question is asking?,239,1,239What is the method of learning based on ?,1
55,eaol09,What is the method of learning based on ?,Is the question related to the given text?,239,1,239What is the method of learning based on ?,2
56,eaol09,What is the method of learning based on ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",239,2,239What is the method of learning based on ?,3
57,eaol09,What is the method of learning based on ?,Is it clear what the question asks for?,239,1,239What is the method of learning based on ?,4
58,eaol09,What is the method of learning based on ?,Could you rephrase the question to make it clearer and/or error-free?,239,1,239What is the method of learning based on ?,5
59,eaol09,What is the method of learning based on ?,Are students reading the text probably able to answer the question?,239,1,239What is the method of learning based on ?,6
60,eaol09,What is the method of learning based on ?,Which kind of information is needed to answer the question?,239,2,239What is the method of learning based on ?,7
61,eaol09,What is the method of learning based on ?,Do you think being able to answer the question is important to work on the topic covered by the text?,239,1,239What is the method of learning based on ?,8
62,eaol09,What is the method of learning based on ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",239,1,239What is the method of learning based on ?,9
63,eaol09,What is a scientific theory ?,Could you understand what the question is asking?,239,1,239What is a scientific theory ?,1
64,eaol09,What is a scientific theory ?,Is the question related to the given text?,239,1,239What is a scientific theory ?,2
65,eaol09,What is a scientific theory ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",239,1,239What is a scientific theory ?,3
66,eaol09,What is a scientific theory ?,Is it clear what the question asks for?,239,1,239What is a scientific theory ?,4
67,eaol09,What is a scientific theory ?,Could you rephrase the question to make it clearer and/or error-free?,239,2,239What is a scientific theory ?,5
68,eaol09,What is a scientific theory ?,Are students reading the text probably able to answer the question?,239,1,239What is a scientific theory ?,6
69,eaol09,What is a scientific theory ?,Which kind of information is needed to answer the question?,239,2,239What is a scientific theory ?,7
70,eaol09,What is a scientific theory ?,Do you think being able to answer the question is important to work on the topic covered by the text?,239,1,239What is a scientific theory ?,8
71,eaol09,What is a scientific theory ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",239,1,239What is a scientific theory ?,9
72,eaol09,What is a hypothesis ?,Could you understand what the question is asking?,236,1,236What is a hypothesis ?,1
73,eaol09,What is a hypothesis ?,Is the question related to the given text?,236,1,236What is a hypothesis ?,2
74,eaol09,What is a hypothesis ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",236,1,236What is a hypothesis ?,3
75,eaol09,What is a hypothesis ?,Is it clear what the question asks for?,236,1,236What is a hypothesis ?,4
76,eaol09,What is a hypothesis ?,Could you rephrase the question to make it clearer and/or error-free?,236,2,236What is a hypothesis ?,5
77,eaol09,What is a hypothesis ?,Are students reading the text probably able to answer the question?,236,1,236What is a hypothesis ?,6
78,eaol09,What is a hypothesis ?,Which kind of information is needed to answer the question?,236,3,236What is a hypothesis ?,7
79,eaol09,What is a hypothesis ?,Do you think being able to answer the question is important to work on the topic covered by the text?,236,1,236What is a hypothesis ?,8
80,eaol09,What is a hypothesis ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",236,1,236What is a hypothesis ?,9
81,eaol09,What is a community ?,Could you understand what the question is asking?,220,1,220What is a community ?,1
82,eaol09,What is a community ?,Is the question related to the given text?,220,1,220What is a community ?,2
83,eaol09,What is a community ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",220,1,220What is a community ?,3
84,eaol09,What is a community ?,Is it clear what the question asks for?,220,1,220What is a community ?,4
85,eaol09,What is a community ?,Could you rephrase the question to make it clearer and/or error-free?,220,2,220What is a community ?,5
86,eaol09,What is a community ?,Are students reading the text probably able to answer the question?,220,1,220What is a community ?,6
87,eaol09,What is a community ?,Which kind of information is needed to answer the question?,220,1,220What is a community ?,7
88,eaol09,What is a community ?,Do you think being able to answer the question is important to work on the topic covered by the text?,220,1,220What is a community ?,8
89,eaol09,What is a community ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",220,1,220What is a community ?,9
90,eaol09,What does the biosphere represent on Earth ?,Could you understand what the question is asking?,220,1,220What does the biosphere represent on Earth ?,1
91,eaol09,What does the biosphere represent on Earth ?,Is the question related to the given text?,220,1,220What does the biosphere represent on Earth ?,2
92,eaol09,What does the biosphere represent on Earth ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",220,2,220What does the biosphere represent on Earth ?,3
93,eaol09,What does the biosphere represent on Earth ?,Is it clear what the question asks for?,220,1,220What does the biosphere represent on Earth ?,4
94,eaol09,What does the biosphere represent on Earth ?,Could you rephrase the question to make it clearer and/or error-free?,220,2,220What does the biosphere represent on Earth ?,5
95,eaol09,What does the biosphere represent on Earth ?,Are students reading the text probably able to answer the question?,220,1,220What does the biosphere represent on Earth ?,6
96,eaol09,What does the biosphere represent on Earth ?,Which kind of information is needed to answer the question?,220,1,220What does the biosphere represent on Earth ?,7
97,eaol09,What does the biosphere represent on Earth ?,Do you think being able to answer the question is important to work on the topic covered by the text?,220,2,220What does the biosphere represent on Earth ?,8
98,eaol09,What does the biosphere represent on Earth ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",220,2,220What does the biosphere represent on Earth ?,9
99,eaol09,How are fractional or multiple SI units named ?,Could you understand what the question is asking?,230,1,230How are fractional or multiple SI units named ?,1
100,eaol09,How are fractional or multiple SI units named ?,Is the question related to the given text?,230,1,230How are fractional or multiple SI units named ?,2
101,eaol09,How are fractional or multiple SI units named ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",230,1,230How are fractional or multiple SI units named ?,3
102,eaol09,How are fractional or multiple SI units named ?,Is it clear what the question asks for?,230,1,230How are fractional or multiple SI units named ?,4
103,eaol09,How are fractional or multiple SI units named ?,Could you rephrase the question to make it clearer and/or error-free?,230,2,230How are fractional or multiple SI units named ?,5
104,eaol09,How are fractional or multiple SI units named ?,Are students reading the text probably able to answer the question?,230,1,230How are fractional or multiple SI units named ?,6
105,eaol09,How are fractional or multiple SI units named ?,Which kind of information is needed to answer the question?,230,1,230How are fractional or multiple SI units named ?,7
106,eaol09,How are fractional or multiple SI units named ?,Do you think being able to answer the question is important to work on the topic covered by the text?,230,1,230How are fractional or multiple SI units named ?,8
107,eaol09,How are fractional or multiple SI units named ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",230,1,230How are fractional or multiple SI units named ?,9
108,eaol09,What does the prefix kilo mean ?,Could you understand what the question is asking?,230,1,230What does the prefix kilo mean ?,1
109,eaol09,What does the prefix kilo mean ?,Is the question related to the given text?,230,1,230What does the prefix kilo mean ?,2
110,eaol09,What does the prefix kilo mean ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",230,1,230What does the prefix kilo mean ?,3
111,eaol09,What does the prefix kilo mean ?,Is it clear what the question asks for?,230,1,230What does the prefix kilo mean ?,4
112,eaol09,What does the prefix kilo mean ?,Could you rephrase the question to make it clearer and/or error-free?,230,2,230What does the prefix kilo mean ?,5
113,eaol09,What does the prefix kilo mean ?,Are students reading the text probably able to answer the question?,230,1,230What does the prefix kilo mean ?,6
114,eaol09,What does the prefix kilo mean ?,Which kind of information is needed to answer the question?,230,1,230What does the prefix kilo mean ?,7
115,eaol09,What does the prefix kilo mean ?,Do you think being able to answer the question is important to work on the topic covered by the text?,230,1,230What does the prefix kilo mean ?,8
116,eaol09,What does the prefix kilo mean ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",230,3,230What does the prefix kilo mean ?,9
117,eaol09,What is Constructivism an extension of ?,Could you understand what the question is asking?,235,1,235What is Constructivism an extension of ?,1
118,eaol09,What is Constructivism an extension of ?,Is the question related to the given text?,235,1,235What is Constructivism an extension of ?,2
119,eaol09,What is Constructivism an extension of ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",235,1,235What is Constructivism an extension of ?,3
120,eaol09,What is Constructivism an extension of ?,Is it clear what the question asks for?,235,1,235What is Constructivism an extension of ?,4
121,eaol09,What is Constructivism an extension of ?,Could you rephrase the question to make it clearer and/or error-free?,235,1,235What is Constructivism an extension of ?,5
122,eaol09,What is Constructivism an extension of ?,Are students reading the text probably able to answer the question?,235,1,235What is Constructivism an extension of ?,6
123,eaol09,What is Constructivism an extension of ?,Which kind of information is needed to answer the question?,235,3,235What is Constructivism an extension of ?,7
124,eaol09,What is Constructivism an extension of ?,Do you think being able to answer the question is important to work on the topic covered by the text?,235,2,235What is Constructivism an extension of ?,8
125,eaol09,What is Constructivism an extension of ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",235,3,235What is Constructivism an extension of ?,9
126,eaol09,How is matter defined ?,Could you understand what the question is asking?,225,1,225How is matter defined ?,1
127,eaol09,How is matter defined ?,Is the question related to the given text?,225,1,225How is matter defined ?,2
128,eaol09,How is matter defined ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",225,1,225How is matter defined ?,3
129,eaol09,How is matter defined ?,Is it clear what the question asks for?,225,1,225How is matter defined ?,4
130,eaol09,How is matter defined ?,Could you rephrase the question to make it clearer and/or error-free?,225,2,225How is matter defined ?,5
131,eaol09,How is matter defined ?,Are students reading the text probably able to answer the question?,225,2,225How is matter defined ?,6
132,eaol09,How is matter defined ?,Which kind of information is needed to answer the question?,225,10,225How is matter defined ?,7
133,eaol09,How is matter defined ?,Do you think being able to answer the question is important to work on the topic covered by the text?,225,10,225How is matter defined ?,8
134,eaol09,How is matter defined ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",225,10,225How is matter defined ?,9
135,eaol09,What is forensic psychology ?,Could you understand what the question is asking?,227,1,227What is forensic psychology ?,1
136,eaol09,What is forensic psychology ?,Is the question related to the given text?,227,1,227What is forensic psychology ?,2
137,eaol09,What is forensic psychology ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",227,1,227What is forensic psychology ?,3
138,eaol09,What is forensic psychology ?,Is it clear what the question asks for?,227,1,227What is forensic psychology ?,4
139,eaol09,What is forensic psychology ?,Could you rephrase the question to make it clearer and/or error-free?,227,1,227What is forensic psychology ?,5
140,eaol09,What is forensic psychology ?,Are students reading the text probably able to answer the question?,227,1,227What is forensic psychology ?,6
141,eaol09,What is forensic psychology ?,Which kind of information is needed to answer the question?,227,2,227What is forensic psychology ?,7
142,eaol09,What is forensic psychology ?,Do you think being able to answer the question is important to work on the topic covered by the text?,227,1,227What is forensic psychology ?,8
143,eaol09,What is forensic psychology ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",227,1,227What is forensic psychology ?,9
144,eaol09,What does inductive reasoning use ?,Could you understand what the question is asking?,221,1,221What does inductive reasoning use ?,1
145,eaol09,What does inductive reasoning use ?,Is the question related to the given text?,221,1,221What does inductive reasoning use ?,2
146,eaol09,What does inductive reasoning use ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",221,1,221What does inductive reasoning use ?,3
147,eaol09,What does inductive reasoning use ?,Is it clear what the question asks for?,221,1,221What does inductive reasoning use ?,4
148,eaol09,What does inductive reasoning use ?,Could you rephrase the question to make it clearer and/or error-free?,221,1,221What does inductive reasoning use ?,5
149,eaol09,What does inductive reasoning use ?,Are students reading the text probably able to answer the question?,221,1,221What does inductive reasoning use ?,6
150,eaol09,What does inductive reasoning use ?,Which kind of information is needed to answer the question?,221,2,221What does inductive reasoning use ?,7
151,eaol09,What does inductive reasoning use ?,Do you think being able to answer the question is important to work on the topic covered by the text?,221,1,221What does inductive reasoning use ?,8
152,eaol09,What does inductive reasoning use ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",221,1,221What does inductive reasoning use ?,9
153,eaol09,What type of conclusions may not be true ?,Could you understand what the question is asking?,221,1,221What type of conclusions may not be true ?,1
154,eaol09,What type of conclusions may not be true ?,Is the question related to the given text?,221,2,221What type of conclusions may not be true ?,2
155,eaol09,What type of conclusions may not be true ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",221,1,221What type of conclusions may not be true ?,3
156,eaol09,What type of conclusions may not be true ?,Is it clear what the question asks for?,221,2,221What type of conclusions may not be true ?,4
157,eaol09,What type of conclusions may not be true ?,Could you rephrase the question to make it clearer and/or error-free?,221,2,221What type of conclusions may not be true ?,5
158,eaol09,What type of conclusions may not be true ?,Are students reading the text probably able to answer the question?,221,2,221What type of conclusions may not be true ?,6
159,eaol09,What type of conclusions may not be true ?,Which kind of information is needed to answer the question?,221,10,221What type of conclusions may not be true ?,7
160,eaol09,What type of conclusions may not be true ?,Do you think being able to answer the question is important to work on the topic covered by the text?,221,10,221What type of conclusions may not be true ?,8
161,eaol09,What type of conclusions may not be true ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",221,10,221What type of conclusions may not be true ?,9
162,eaol09,How does deductive reasoning begin ?,Could you understand what the question is asking?,221,1,221How does deductive reasoning begin ?,1
163,eaol09,How does deductive reasoning begin ?,Is the question related to the given text?,221,1,221How does deductive reasoning begin ?,2
164,eaol09,How does deductive reasoning begin ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",221,1,221How does deductive reasoning begin ?,3
165,eaol09,How does deductive reasoning begin ?,Is it clear what the question asks for?,221,1,221How does deductive reasoning begin ?,4
166,eaol09,How does deductive reasoning begin ?,Could you rephrase the question to make it clearer and/or error-free?,221,1,221How does deductive reasoning begin ?,5
167,eaol09,How does deductive reasoning begin ?,Are students reading the text probably able to answer the question?,221,1,221How does deductive reasoning begin ?,6
168,eaol09,How does deductive reasoning begin ?,Which kind of information is needed to answer the question?,221,1,221How does deductive reasoning begin ?,7
169,eaol09,How does deductive reasoning begin ?,Do you think being able to answer the question is important to work on the topic covered by the text?,221,1,221How does deductive reasoning begin ?,8
170,eaol09,How does deductive reasoning begin ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",221,1,221How does deductive reasoning begin ?,9
171,eaol09,What is the periodic table ?,Could you understand what the question is asking?,222,1,222What is the periodic table ?,1
172,eaol09,What is the periodic table ?,Is the question related to the given text?,222,1,222What is the periodic table ?,2
173,eaol09,What is the periodic table ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",222,1,222What is the periodic table ?,3
174,eaol09,What is the periodic table ?,Is it clear what the question asks for?,222,1,222What is the periodic table ?,4
175,eaol09,What is the periodic table ?,Could you rephrase the question to make it clearer and/or error-free?,222,1,222What is the periodic table ?,5
176,eaol09,What is the periodic table ?,Are students reading the text probably able to answer the question?,222,1,222What is the periodic table ?,6
177,eaol09,What is the periodic table ?,Which kind of information is needed to answer the question?,222,3,222What is the periodic table ?,7
178,eaol09,What is the periodic table ?,Do you think being able to answer the question is important to work on the topic covered by the text?,222,1,222What is the periodic table ?,8
179,eaol09,What is the periodic table ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",222,1,222What is the periodic table ?,9
180,eaol09,How do humans interact with things ?,Could you understand what the question is asking?,223,1,223How do humans interact with things ?,1
181,eaol09,How do humans interact with things ?,Is the question related to the given text?,223,1,223How do humans interact with things ?,2
182,eaol09,How do humans interact with things ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",223,1,223How do humans interact with things ?,3
183,eaol09,How do humans interact with things ?,Is it clear what the question asks for?,223,1,223How do humans interact with things ?,4
184,eaol09,How do humans interact with things ?,Could you rephrase the question to make it clearer and/or error-free?,223,1,223How do humans interact with things ?,5
185,eaol09,How do humans interact with things ?,Are students reading the text probably able to answer the question?,223,1,223How do humans interact with things ?,6
186,eaol09,How do humans interact with things ?,Which kind of information is needed to answer the question?,223,2,223How do humans interact with things ?,7
187,eaol09,How do humans interact with things ?,Do you think being able to answer the question is important to work on the topic covered by the text?,223,1,223How do humans interact with things ?,8
188,eaol09,How do humans interact with things ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",223,1,223How do humans interact with things ?,9
189,eaol09,How long has the second had ?,Could you understand what the question is asking?,233,2,233How long has the second had ?,1
190,eaol09,How long has the second had ?,Is the question related to the given text?,233,10,233How long has the second had ?,2
191,eaol09,How long has the second had ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",233,10,233How long has the second had ?,3
192,eaol09,How long has the second had ?,Is it clear what the question asks for?,233,10,233How long has the second had ?,4
193,eaol09,How long has the second had ?,Could you rephrase the question to make it clearer and/or error-free?,233,10,233How long has the second had ?,5
194,eaol09,How long has the second had ?,Are students reading the text probably able to answer the question?,233,10,233How long has the second had ?,6
195,eaol09,How long has the second had ?,Which kind of information is needed to answer the question?,233,10,233How long has the second had ?,7
196,eaol09,How long has the second had ?,Do you think being able to answer the question is important to work on the topic covered by the text?,233,10,233How long has the second had ?,8
197,eaol09,How long has the second had ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",233,10,233How long has the second had ?,9
198,eaol09,What is homeostasis ?,Could you understand what the question is asking?,237,1,237What is homeostasis ?,1
199,eaol09,What is homeostasis ?,Is the question related to the given text?,237,1,237What is homeostasis ?,2
200,eaol09,What is homeostasis ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",237,1,237What is homeostasis ?,3
201,eaol09,What is homeostasis ?,Is it clear what the question asks for?,237,1,237What is homeostasis ?,4
202,eaol09,What is homeostasis ?,Could you rephrase the question to make it clearer and/or error-free?,237,1,237What is homeostasis ?,5
203,eaol09,What is homeostasis ?,Are students reading the text probably able to answer the question?,237,1,237What is homeostasis ?,6
204,eaol09,What is homeostasis ?,Which kind of information is needed to answer the question?,237,1,237What is homeostasis ?,7
205,eaol09,What is homeostasis ?,Do you think being able to answer the question is important to work on the topic covered by the text?,237,1,237What is homeostasis ?,8
206,eaol09,What is homeostasis ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",237,1,237What is homeostasis ?,9
207,eaol09,How is mass per volume expressed ?,Could you understand what the question is asking?,231,1,231How is mass per volume expressed ?,1
208,eaol09,How is mass per volume expressed ?,Is the question related to the given text?,231,1,231How is mass per volume expressed ?,2
209,eaol09,How is mass per volume expressed ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",231,1,231How is mass per volume expressed ?,3
210,eaol09,How is mass per volume expressed ?,Is it clear what the question asks for?,231,2,231How is mass per volume expressed ?,4
211,eaol09,How is mass per volume expressed ?,Could you rephrase the question to make it clearer and/or error-free?,231,2,231How is mass per volume expressed ?,5
212,eaol09,How is mass per volume expressed ?,Are students reading the text probably able to answer the question?,231,2,231How is mass per volume expressed ?,6
213,eaol09,How is mass per volume expressed ?,Which kind of information is needed to answer the question?,231,10,231How is mass per volume expressed ?,7
214,eaol09,How is mass per volume expressed ?,Do you think being able to answer the question is important to work on the topic covered by the text?,231,10,231How is mass per volume expressed ?,8
215,eaol09,How is mass per volume expressed ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",231,10,231How is mass per volume expressed ?,9
216,eaol09,What does culture encompass ?,Could you understand what the question is asking?,224,1,224What does culture encompass ?,1
217,eaol09,What does culture encompass ?,Is the question related to the given text?,224,1,224What does culture encompass ?,2
218,eaol09,What does culture encompass ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",224,1,224What does culture encompass ?,3
219,eaol09,What does culture encompass ?,Is it clear what the question asks for?,224,1,224What does culture encompass ?,4
220,eaol09,What does culture encompass ?,Could you rephrase the question to make it clearer and/or error-free?,224,2,224What does culture encompass ?,5
221,eaol09,What does culture encompass ?,Are students reading the text probably able to answer the question?,224,1,224What does culture encompass ?,6
222,eaol09,What does culture encompass ?,Which kind of information is needed to answer the question?,224,1,224What does culture encompass ?,7
223,eaol09,What does culture encompass ?,Do you think being able to answer the question is important to work on the topic covered by the text?,224,1,224What does culture encompass ?,8
224,eaol09,What does culture encompass ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",224,1,224What does culture encompass ?,9
225,eaol09,How do sociologists study culture ?,Could you understand what the question is asking?,224,1,224How do sociologists study culture ?,1
226,eaol09,How do sociologists study culture ?,Is the question related to the given text?,224,1,224How do sociologists study culture ?,2
227,eaol09,How do sociologists study culture ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",224,1,224How do sociologists study culture ?,3
228,eaol09,How do sociologists study culture ?,Is it clear what the question asks for?,224,1,224How do sociologists study culture ?,4
229,eaol09,How do sociologists study culture ?,Could you rephrase the question to make it clearer and/or error-free?,224,1,224How do sociologists study culture ?,5
230,eaol09,How do sociologists study culture ?,Are students reading the text probably able to answer the question?,224,1,224How do sociologists study culture ?,6
231,eaol09,How do sociologists study culture ?,Which kind of information is needed to answer the question?,224,2,224How do sociologists study culture ?,7
232,eaol09,How do sociologists study culture ?,Do you think being able to answer the question is important to work on the topic covered by the text?,224,2,224How do sociologists study culture ?,8
233,eaol09,How do sociologists study culture ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",224,2,224How do sociologists study culture ?,9
234,eaol09,What are grand theories ?,Could you understand what the question is asking?,229,1,229What are grand theories ?,1
235,eaol09,What are grand theories ?,Is the question related to the given text?,229,1,229What are grand theories ?,2
236,eaol09,What are grand theories ?,Could you rephrase the question to make it clearer and/or error-free?,229,1,229What are grand theories ?,5
237,eaol09,What are grand theories ?,Are students reading the text probably able to answer the question?,229,1,229What are grand theories ?,6
238,eaol09,What are grand theories ?,Which kind of information is needed to answer the question?,229,1,229What are grand theories ?,7
